NAME	cluster dominant cell type	X	Y
TYPE	group	numeric	numeric
131	CD8+ GNLY+ T cell	-5.50006591652543	-1.3537227716888351
132	CD8+ CXCR4+ T cell	-3.4640259477951605	2.1136422605418006
133	CD8+ PD1+ T cell	-0.8686025147260898	1.775997100368554
135	CD4+ T cell	3.7021097342457194	-4.171029756513343
136	CD8+ CXCR4+ T cell	-4.692855876696029	3.3384090258744603
137	CD8+ PD1+ T cell	-1.97505633018067	4.206725367049198
138	CD4+ T cell	2.3832655435170036	-3.496886130857503
139	CD4+ T cell	1.696892528034	-2.7555986305273468
140	CD8+ CXCR4+ T cell	-4.201564839607201	1.8801841172506726
141	CD4+ T cell	4.648819194580976	-3.2928960066992032
142	CD4+ T cell	4.161086343042778	-4.732418109831195
143	CD4+ T cell	3.3498760205057714	-2.8501192972390905
145	CD8+ CXCR4+ T cell	-1.7350830165945543	3.8357429517435424
146	CD8+ CXCR4+ T cell	-2.8606691362951473	3.8053685014769556
147	CD4+ T cell	4.955942178006642	-3.5773858639596874
148	CD4+ T cell	0.32396698198923146	-3.2627446622216274
149	CD8+ GNLY+ T cell	-5.6754844716808055	-2.003386930202827
150	CD8+ CXCR4+ T cell	-3.309291080796889	1.6950731729419806
151	CD8+ PD1+ T cell	-1.9104168654237892	3.74802124563544
152	CD4+ T cell	0.8400878805016292	-3.043467860499184
153	CD4+ T cell	4.3334301315804655	-3.6600040981297037
154	CD8+ CXCR4+ T cell	0.7191515902105097	-1.630161309980756
155	CD4+ T cell	0.895815211009998	-2.754936128912491
156	CD8+ CXCR4+ T cell	-3.6913958820297648	2.5801742875896445
157	CD8+ GNLY+ T cell	-5.790957493503099	-1.7312689513348711
158	CD8+ CXCR4+ T cell	-4.618543225185144	2.4616611303157407
159	CD4+ T cell	1.6790818060242152	1.0105478033623194
160	CD8+ PD1+ T cell	-3.560700425179043	1.3175390932268962
161	CD8+ GNLY+ T cell	-2.6837418936794393	0.5459489014974487
162	CD4+ T cell	2.4105607235474906	-1.6060417217234009
163	CD8+ CXCR4+ T cell	-4.239810428881124	1.6917981463455036
164	CD8+ GNLY+ T cell	-5.4616744724497766	1.5640767417296493
165	CD4+ T cell	2.1705443165026415	-1.6072828619886097
166	CD8+ CXCR4+ T cell	0.05149622079622973	-1.0873616536070103
167	CD4+ T cell	2.794960988151727	-3.426954132894397
168	CD8+ GNLY+ T cell	-6.101069372368209	-1.5196354841103643
169	CD16+ NK cell	-6.8133577319650165	-1.3432597990839712
170	CD4+ T cell	2.6636731034860723	-2.9772718669592324
185	CD4+ T cell	4.986407701116012	-2.0393735137910585
489	CD8+ PD1+ T cell	-0.8138855901095379	3.257548824997166
490	CD8+ PD1+ T cell	0.5400397727981046	2.9581393260525206
491	CD4+ T cell	4.56536741085714	-2.3158726334374538
492	CD8+ PD1+ T cell	0.02573058404177564	1.4100635701749495
493	CD8+ PD1+ T cell	0.27125835922433716	2.2979586848567113
494	CD4+ Treg cell	4.1359339583621315	2.0434914844507883
496	CD8+ GNLY+ T cell	-5.238462404438255	-0.13768483225446532
497	CD8+ PD1+ T cell	0.10962083615215001	3.7828969629825813
499	CD4+ T cell	3.5622714605986685	-1.096806704878151
500	CD8+ PD1+ T cell	0.8557245968143012	3.187703713714334
501	CD4+ Treg cell	5.816098234750653	0.3343077777130621
502	CD8+ PD1+ T cell	-0.05699272549940693	3.057646872101916
503	CD8+ GNLY+ T cell	-5.5995553131247675	-0.5038910105858592
504	CD8+ GNLY+ T cell	-2.9560817309505416	0.3323711274015304
506	CD4+ T cell	0.2857168075610812	-3.8538959557289303
507	CD8+ PD1+ T cell	0.44820491496724624	2.4753846784139633
508	CD8+ PD1+ T cell	-0.8428665442212024	3.2332422169591077
510	CD4+ Treg cell	-0.18650268357904976	4.847553992267126
511	CD8+ PD1+ T cell	-1.1775996942579745	4.063224150270117
